AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,70,SUCRE,70418,LOS PALMITOS,N,70418002,EL PIÑAL,N,N,N,N,N,N
2020,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,76,VALLE DEL CAUCA,76130,CANDELARIA,S,76130001,CANDELARIA,N,N,N,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,N,5873004,SAN ALEJANDRO,N,N,N,N,N,N
2020,3,AVANTEL S.A.S,15,BOYACÁ,15367,JENESANO,S,15367001,JENESANO,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76109,BUENAVENTURA,N,76109097,LA CONTRA,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68013,AGUADA,S,68013001,AGUADA,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52473,MOSQUERA,N,0,TREJOS,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20383,LA GLORIA,N,20383006,BESOTE,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15759,SOGAMOSO,N,15759006,ALCAPARRAL,S,S,N,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13006,ACHÍ,N,13006015,TACUYALTA,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,N,5148008,LA AURORA - LAS BRISAS,S,S,S,N,S,N
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,5,ANTIOQUIA,5679,SANTA BÁRBARA,S,5679001,SANTA BÁRBARA,N,N,N,N,S,N
2020,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,15500,OICATÁ,S,15500001,OICATÁ,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76130,CANDELARIA,N,76130018,CANTALOMOTA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13062,ARROYOHONDO,N,13062006,SAN FRANCISCO (SOLABANDA),S,S,N,N,N,N
2020,1,AVANTEL S.A.S,15,BOYACÁ,15776,SUTAMARCHÁN,S,15776001,SUTAMARCHÁN,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70233,EL ROBLE,N,70233011,SANTA ROSA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13300,HATILLO DE LOBA,N,13300006,SAN MIGUEL,S,S,S,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19256,EL TAMBO,N,19256027,SEGUENGUE,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76001,CALI,N,76001038,VILLA FLAMENCO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27413,LLORÓ,S,27413001,LLORÓ,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25745,SIMIJACA,N,25745003,EL RETÉN,S,S,N,N,S,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47245,EL BANCO,N,47245002,ALGARROBAL,N,N,N,N,N,N
2020,1,AVANTEL S.A.S,13,BOLÍVAR,13140,CALAMAR,S,13140001,CALAMAR,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5736,SEGOVIA,N,5736001,FRAGUAS,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27495,NUQUÍ,N,27495008,JOBÍ,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,N,54001055,EL SUSPIRO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,27800,UNGUÍA,N,27800002,GILGAL,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,18,CAQUETA,18610,SAN JOSÉ DEL FRAGUA,N,18610002,YURAYACO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52356,IPIALES,N,52356012,LOS CHILCOS,N,S,S,N,S,N
