FECHA;ENERGIA-CONSUMIDA.FEM+ALCO-EXP;LINEAS DE PRODUCCION.LINEA 2.kWh dia;LINEAS DE PRODUCCION.SOLISTICA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 2 - SOL 3.kWh dia;LINEAS DE PRODUCCION.LINEA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 4.kWh dia;LINEAS DE PRODUCCION.LINEA 5.kWh dia;LINEAS DE PRODUCCION.LINEA 6.kWh dia;LINEAS DE PRODUCCION.LINEA 7 B&B AUX FABRICACION.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 1.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 2.kWh dia;LINEAS DE PRODUCCION.ANEKO.kWh dia;LINEAS DE PRODUCCION.PTAR.kWh dia;LINEAS DE PRODUCCION.PTAP.kWh dia;LINEAS DE PRODUCCION.TDF21.7.1 CUARTOS FRIOS.kWh dia;LINEAS DE PRODUCCION.FABRICACION HOTFILL.kWh dia;LINEAS DE PRODUCCION.TORRE DE ENFRIAMIENTO (PTAP).kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENTOCA.kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENERGIAA ELECTRICA FEMSA.INDICADOR.kWh dia;REFRIGERACION.GLICOL AGUA HELADA.Kwh/dia;REFRIGERACION.AGUA CLARIFICADO.Kwh/dia;REFRIGERACION.AGUA  PASTEURIZADO TORRE PASTER 1.Kwh/dia;REFRIGERACION.ENERGIAA ELECTRICA MAYEKAWA.kWh dia;REFRIGERACION.ENERGIAA ELECTRICA CLARIFICADO.kWh dia;REFRIGERACION.TOTAL CLARIFICADO.kTr;REFRIGERACION.TOTAL PASTEURIZADO.kTr;REFRIGERACION.TOTAL MAYEKAWA.kTr;REFRIGERACION.TOTAL REFRIGERACION.kTr;AIRE COMPRIMIDO.GENERACION TOTAL AIRE.KNm3/dia;AIRE COMPRIMIDO.CONSUMO AIRE FEMSA.KNm3/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE TOTAL.kWh/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE FEMSA.kWh/dia;MEDIDORES DE GAS.LINEA MEDIA m3/dia.;LITROS DE BEBIDA.LITROS DE BEBIDA LB.;LITROS DE BEBIDA.LITROS DE BEBIDA LB-ACUMULADO-.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 2.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 3.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 4.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 5.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 6.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 7 BIB.
6/12/2025;169.897,54;4.569,00;620;3.949,00;4.120,00;3.372,00;3.653,00;3.033,00;1.077,00;1.119,00;709;1.157,00;1.325,00;1.561,00;458;227;330;91.255,00;78.214,94;29.037,51;5.583,23;7.345,11;7.584,10;245,24;1,59;2,09;8,26;11,94;63,08;30,38;7.901,95;3.805,66;30.984,00;2.018.877,23;13.501.430,18;725.459,27;235.131,00;269.745,60;669.240,00;115.338,04;18.371,25
7/12/2025;173.104,68;4.775,00;169;4.606,00;4.205,00;2.801,00;1.791,00;1.871,00;1.012,00;1.277,00;438;1.042,00;1.805,00;1.526,00;363;70;557;89.692,00;81.546,58;28.854,18;3.904,06;1.783,74;7.165,40;120,86;1,11;0,51;8,21;9,82;64,03;29,73;7.781,26;3.612,94;33.392,00;1.979.367,73;15.480.797,91;1.067.332,17;248.247,00;202.784,15;359.730,00;83.874,75;47.889,50
8/12/2025;142.206,16;3.707,00;201;3.506,00;856;138;162;3.437,00;1.041,00;836;187;974;1.639,00;1.020,00;399;103;214;76.398,00;65.068,16;13.119,01;3.494,64;0;3.534,00;0,76;0,99;0;3,73;4,73;54,29;22,02;6.477,45;2.627,25;34.238,00;1.024.488,18;16.505.286,09;785.928,00;26.592,00;0;0;71.424,00;16.975,00
9/12/2025;174.179,05;4.902,00;676;4.226,00;3.860,00;2.479,00;3.035,00;2.652,00;946;1.144,00;558;945;1.485,00;1.699,00;358;94;492;92.162,00;79.364,95;28.786,92;3.744,48;0;7.469,40;0,9;1,06;0;8,19;9,25;64,93;30,38;8.072,12;3.776,85;34.036,00;1.962.895,60;18.468.181,69;925.648,40;315.648,00;167.702,40;402.300,00;211.968,00;14.960,00
10/12/2025;186.872,71;5.065,00;661;4.404,00;4.401,00;3.359,00;3.378,00;3.117,00;915;1.228,00;604;1.111,00;1.430,00;1.561,00;412;80;411;100.680,00;82.601,51;33.035,47;5.006,71;0;8.370,20;0,89;1,42;0;9,4;10,82;67,18;30,76;8.103,99;3.710,61;33.847,00;2.474.664,97;20.942.846,66;1.065.952,17;389.376,00;286.848,00;525.564,00;136.636,80;5.800,00
11/12/2025;186.711,72;4.926,00;651;4.275,00;4.413,00;2.953,00;3.691,00;2.289,00;912;1.137,00;654;1.186,00;1.469,00;1.503,00;386;195;402;101.672,00;81.610,72;33.667,02;5.137,34;3.357,94;8.651,20;90,49;1,46;0,96;9,58;11,99;63,08;29,61;7.603,80;3.569,25;34.044,00;2.284.719,18;23.227.565,84;889.797,30;395.136,00;182.047,68;751.275,00;201.124,80;13.860,00
12/12/2025;167.819,36;4.756,00;674;4.082,00;4.080,00;2.782,00;3.547,00;3.931,00;879;1.195,00;698;1.429,00;1.464,00;1.724,00;397;284;385;93.224,00;74.570,66;32.722,36;7.620,31;8.093,99;8.239,40;209,67;2,17;2,3;9,31;13,78;67,08;30,35;8.066,67;3.649,72;34.602,00;2.158.377,17;25.385.943,01;810.507,11;376.310,91;162.432,00;668.070,00;52.603,20;13.578,75
13/12/2025;199.263,76;5.213,00;416;4.797,00;4.243,00;2.938,00;3.804,00;634;1.047,00;1.350,00;740;1.333,00;1.149,00;1.763,00;440;54;589;105.689,00;91.157,36;38.396,90;6.552,53;0;9.322,50;0,92;1,86;0;10,92;12,78;66,18;30,69;8.105,70;3.758,90;34.618,00;2.693.544,51;28.079.487,52;1.235.519,78;387.791,98;181.440,00;801.450,00;127.478,40;68.910,75
14/12/2025;190.952,47;5.132,00;452;4.680,00;4.410,00;2.865,00;3.575,00;3.283,00;865;1.191,00;739;1.284,00;1.210,00;1.871,00;354;77;573;103.288,00;84.716,77;37.580,74;6.441,73;0;9.195,40;0,9;1,83;0;10,69;12,52;68,18;32,39;8.560,18;4.066,65;33.888,00;2.525.095,08;30.604.582,60;1.097.992,08;391.680,00;171.279,00;685.584,00;18.432,00;0
15/12/2025;187.971,91;5.383,00;615;4.768,00;4.216,00;3.001,00;3.486,00;3.217,00;863;1.231,00;684;1.235,00;831;1.713,00;359;110;525;101.545,00;83.159,41;31.665,40;6.616,09;0;7.923,10;0,87;1,88;0;9,01;10,89;68,13;31,46;8.243,20;3.806,42;34.209,00;2.552.015,91;33.156.598,51;1.172.331,39;336.835,20;214.804,92;658.782,92;178.560,00;0
16/12/2025;178.104,70;4.562,00;615;3.947,00;3.834,00;3.244,00;3.698,00;1.856,00;1.038,00;1.075,00;777;1.266,00;985;1.659,00;412;185;593;95.283,00;80.865,50;30.323,24;3.695,01;2.706,98;7.645,30;82,8;1,05;0,77;8,62;10,45;58,64;29,4;7.140,06;3.579,77;33.734,00;2.131.046,01;35.287.644,52;797.720,83;272.325,00;257.921,78;784.008,00;169.262,40;28.690,00
17/12/2025;166.197,65;4.278,00;629;3.649,00;4.328,00;2.006,00;2.558,00;3.332,00;990;1.003,00;624;1.394,00;1.505,00;1.457,00;420;242;470;86.059,00;78.236,95;23.422,96;3.778,21;7.184,44;6.211,20;204,68;1,07;2,04;6,66;9,78;56,39;27,86;6.937,75;3.427,66;33.859,00;1.709.716,29;36.997.360,81;643.894,75;365.361,00;106.938,94;446.140,00;19.070,40;18.300,00
18/12/2025;174.126,39;4.721,00;638;4.083,00;4.436,00;2.806,00;3.579,00;389;1.057,00;1.261,00;643;1.335,00;1.643,00;1.484,00;420;170;266;92.660,00;78.922,89;30.371,40;5.495,97;5.327,48;7.359,70;94,59;1,56;1,52;8,64;11,72;63,88;30,93;7.707,58;3.731,93;34.038,00;2.316.356,51;39.313.717,32;1.016.272,51;407.808,00;174.486,00;717.790,00;147.381,00;72.677,00
19/12/2025;173.844,61;4.638,00;622;4.016,00;4.300,00;2.848,00;3.490,00;2.937,00;1.007,00;1.327,00;598;1.616,00;1.713,00;1.723,00;369;221;563;90.582,00;80.215,11;31.740,26;6.898,20;6.909,62;8.866,10;237,38;1,96;1,97;9,03;12,95;65,13;29,72;8.083,55;3.688,67;26.038,00;2.131.925,09;41.445.642,41;890.140,34;369.792,00;170.550,00;572.544,00;0;25.692,75
20/12/2025;180.730,42;3.932,00;388;3.544,00;3.704,00;3.254,00;3.569,00;3.270,00;957;1.288,00;639;1.084,00;1.655,00;1.619,00;360;303;508;91.037,00;88.290,22;31.391,34;5.193,24;7.279,80;8.380,90;269,49;1,48;2,07;8,93;12,48;65,03;30,49;8.052,41;3.775,46;42.295,00;1.333.048,61;42.778.691,02;687.889,10;359.463,51;285.696,00;528.300,00;103.206,00;20.250,00
21/12/2025;177.742,45;4.809,00;229;4.580,00;4.044,00;2.923,00;3.306,00;2.701,00;915;1.439,00;687;1.102,00;1.818,00;1.634,00;358;355;497;93.027,00;83.535,75;36.910,85;4.620,99;7.891,73;9.711,40;247,11;1,31;2,24;10,5;14,06;66,03;29,95;7.842,08;3.557,02;33.857,00;2.285.517,33;45.064.208,35;1.039.710,08;350.501,41;193.395,84;575.640,00;101.596,80;0
22/12/2025;181.162,62;5.361,00;637;4.724,00;4.046,00;3.052,00;3.640,00;2.816,00;961;1.307,00;720;1.362,00;1.822,00;1.635,00;380;249;324;94.493,00;84.157,92;35.190,95;4.529,15;4.885,02;9.618,20;120,53;1,29;1,39;10,01;12,69;68,13;32,36;8.289,85;3.937,47;35.159,00;2.437.323,32;47.501.531,67;1.123.191,72;232.416,00;213.849,60;676.260,00;126.270,00;18.305,00
23/12/2025;182.940,85;5.160,00;389;4.771,00;3.993,00;3.114,00;3.689,00;1.147,00;1.099,00;1.407,00;784;1.582,00;1.732,00;1.684,00;440;94;593;96.216,00;84.990,15;34.548,80;4.752,42;1.292,88;9.452,70;136,84;1,35;0,37;9,83;11,55;65,18;30,75;8.142,81;3.841,54;34.003,00;2.546.893,31;50.048.424,98;1.170.877,17;221.604,00;253.948,80;759.492,00;173.301,00;69.316,75
24/12/2025;169.473,21;3.280,00;173;3.107,00;2.761,00;2.219,00;2.298,00;2.088,00;957;887;507;1.108,00;1.032,00;1.206,00;438;146;332;79.290,00;90.969,31;25.172,30;4.494,52;4.413,24;6.967,40;124,61;1,28;1,26;7,16;9,69;49,98;23,59;6.047,97;2.854,57;33.186,00;1.644.242,94;51.692.667,92;735.623,89;184.734,00;173.485,85;480.840,00;35.712,00;0
25/12/2025;160.604,90;3.633,00;224;3.409,00;3.521,00;2.641,00;2.885,00;2.588,00;893;953;607;1.297,00;1.670,00;1.363,00;365;252;284;99.377,00;62.014,90;27.856,60;4.176,03;3.979,16;7.875,00;120,73;1,19;1,13;7,92;10,24;56,08;27,14;6.808,45;3.294,96;33.850,00;1.628.972,47;53.321.640,39;682.380,00;296.064,00;162.911,47;487.617,00;69.559,20;4.565,00
26/12/2025;183.356,99;4.853,00;654;4.199,00;4.318,00;2.766,00;3.516,00;3.185,00;924;1.122,00;679;1.544,00;1.763,00;1.669,00;361;281;449;88.428,00;92.999,29;26.698,40;4.044,83;6.891,88;6.904,00;177,06;1,15;1,96;7,59;10,7;66,13;32,26;8.116,92;3.959,65;34.338,00;2.214.289,50;55.535.929,89;857.836,10;384.768,00;163.492,80;673.107,00;0;16.120,00
27/12/2025;147.509,55;4.861,00;401;4.460,00;3.950,00;2.848,00;3.356,00;2.376,00;906;1.267,00;629;1.834,00;1.818,00;1.671,00;348;227;499;74.503,00;71.142,45;28.478,76;7.524,15;6.094,79;7.373,50;138,63;2,14;1,73;8,1;11,97;66,18;22,94;8.009,00;2.776,16;33.982,00;2.159.823,58;57.695.753,47;1.140.471,58;267.264,00;174.576,00;577.512,00;118.965,60;53.498,50
28/12/2025;160.526,27;4.559,00;204;4.355,00;4.132,00;2.885,00;3.334,00;3.984,00;789;1.194,00;631;1.515,00;1.789,00;1.644,00;312;334;316;76.480,00;82.837,47;33.785,94;5.865,85;9.804,44;9.027,20;241,62;1,67;2,79;9,61;14,07;69,23;31,98;8.440,88;3.899,17;34.160,00;2.238.815,45;59.934.568,92;1.086.548,81;337.478,40;165.056,64;467.076,00;95.550,00;0
29/12/2025;181.304,13;4.852,00;534;4.318,00;3.736,00;3.234,00;3.588,00;3.463,00;893;1.323,00;790;1.264,00;1.863,00;1.586,00;365;237;437;90.267,00;87.856,93;33.447,50;2.930,47;8.176,26;8.728,20;265,22;0,83;2,33;9,51;12,67;68,13;39,65;8.259,76;4.806,98;34.416,00;2.430.874,97;62.365.443,89;989.597,06;334.563,51;281.088,00;693.108,00;182.655,60;8.700,00
30/12/2025;186.085,53;5.019,00;245;4.774,00;3.994,00;3.201,00;3.969,00;143;1.055,00;1.595,00;739;1.383,00;1.739,00;1.780,00;400;14;484;96.970,00;86.446,03;39.157,20;6.246,90;3.488,80;10.129,60;262,13;1,78;0,99;11,14;13,91;71,18;24,13;8.399,78;2.847,52;33.984,00;2.484.089,31;64.849.533,20;1.173.501,36;232.019,99;267.624,00;733.500,00;132.518,00;76.431,00
31/12/2025;148.232,62;3.356,00;164;3.192,00;2.759,00;2.313,00;2.105,00;147;884;975;536;1.025,00;994;1.090,00;340;20;275;80.103,00;71.601,22;25.909,90;5.282,33;1.207,77;7.154,69;102,54;1,5;0,34;7,37;9,22;47,98;21,54;6.276,27;2.817,65;32.414,00;1.597.242,67;66.446.775,87;756.246,41;143.472,00;178.977,60;487.854,00;0;1.491,00
